IdBuque;Buque;CFR;Censo;Geom;Latitud;Longitud;IdPosicion;Fecha;Hora;Velocidad;Rumbo;IdSuceso;TipoSuceso;IdDiario;HojaMarea
53401;ANDUIZA ANAIAK;ESP000024717;CERCO EN CANTABRICO NW;0xE6100000010CF9FFFF5FF28B28C0FCFFFF9FE0414540;42,5146675109863;-12,2733335494995;256192319;2024-05-19;18:53;9,4;238;0;Posicion;2289256;ESP-TRP-02471720240517065919
53401;ANDUIZA ANAIAK;ESP000024717;CERCO EN CANTABRICO NW;0xE6100000010C11000040EE3528C0010000C0CC4C4540;42,5999984741211;-12,1053333282471;256191363;2024-05-19;17:53;8,6;250;0;Posicion;2289256;ESP-TRP-02471720240517065919
53401;ANDUIZA ANAIAK;ESP000024717;CERCO EN CANTABRICO NW;0xE6100000010CFDFFFFBFBDE626C005000020CC734540;42,9046669006348;-11,4506664276123;256187330;2024-05-19;13:53;8,6;238;0;Posicion;2289256;ESP-TRP-02471720240517065919
53401;ANDUIZA ANAIAK;ESP000024717;CERCO EN CANTABRICO NW;0xE6100000010CFFFFFFDF963527C0060000E078694540;42,8240013122559;-11,6046667098999;256188240;2024-05-19;14:53;8,4;230;0;Posicion;2289256;ESP-TRP-02471720240517065919
53401;ANDUIZA ANAIAK;ESP000024717;CERCO EN CANTABRICO NW;0xE6100000010C1B000040378927C0060000E07C5F4540;42,7459983825684;-11,7679996490479;256189370;2024-05-19;15:53;8,2;242;0;Posicion;2289256;ESP-TRP-02471720240517065919
53401;ANDUIZA ANAIAK;ESP000024717;CERCO EN CANTABRICO NW;0xE6100000010C160000C092DF27C0FDFFFF5F71564540;42,6753349304199;-11,9366664886475;256190290;2024-05-19;16:53;8,8;235;0;Posicion;2289256;ESP-TRP-02471720240517065919
41184;MUNDAKA;ESP000022047;CERCO EN CANTABRICO NW;0xE6100000010C18EDF1423AEC26C010035DFB02864540;43,046966;-11,461382;256188513;2024-05-19;15:10;7,6;245;0;Posicion;2289464;ESP-TRP-02204720240518112336
41184;MUNDAKA;ESP000022047;CERCO EN CANTABRICO NW;0xE6100000010CD671FC50694427C05F251FBB0B7E4540;42,984733;-11,633616;256189627;2024-05-19;16:10;8,9;241;0;Posicion;2289464;ESP-TRP-02204720240518112336
41184;MUNDAKA;ESP000022047;CERCO EN CANTABRICO NW;0xE6100000010C1CEDB8E1779B27C072FA7ABE66754540;42,917198;-11,803649;256190527;2024-05-19;17:10;8,3;242;0;Posicion;2289464;ESP-TRP-02204720240518112336
41184;MUNDAKA;ESP000022047;CERCO EN CANTABRICO NW;0xE6100000010CD6027B4CA4F427C06EC1525DC06D4540;42,857433;-11,977816;256191629;2024-05-19;18:10;7,8;255;0;Posicion;2289464;ESP-TRP-02204720240518112336
